"","Date","Open","High","Low","Close","Volume","tweet","ave_sentiment","sd_sentiment","avg_sentiment","sentiment_score"
"1",2018-01-29,11755.5,11875.599609,11179.200195,11296.400391,7107359744,"But wait, there’s more: the flamethrower is sentient, its safe word is “cryptocurrency” and it comes with a free blockchain",0.150024799537245,NA,0.150024799537245,"positive"
"2",2018-02-22,10660.400391,11039.099609,9939.089844,10005,8040079872,"@DeadlyBananas @MichaelAVaughn Not sure. I let @jack know, but it’s still going. I literally own zero cryptocurrency, apart from .25 BTC that a friend sent me many years ago.",0.0976492374702896,0.115470053837925,0.0976492374702896,"positive"
"3",2019-02-21,4000.256836,4010.009521,3940.108154,3954.118164,7775128102,"@coindesk That said, I still only own 0.25 BTC, which a friend sent me several years ago. Don’t have any crypto holdings.",0.109137265968653,0.14142135623731,0.109137265968653,"positive"
"4",2019-04-02,4156.919434,4905.95459,4155.316895,4879.87793,21315047816,"@Tom_Heats Dogecoin might be my fav cryptocurrency. It’s pretty cool.",0.551776695296637,0.280330085889911,0.551776695296637,"positive"
"5",2019-04-13,5088.850098,5127.12207,5061.589355,5096.586426,10823289598,"@CryptoCobain Cryptocurrency is my safe word",0.306186217847897,NA,0.306186217847897,"positive"
"6",2019-05-07,5745.599121,5988.178223,5741.395996,5829.501465,18026409033,"@CryptoNekoZ @Tesla Click checkbox under “Advanced Settings”",0.28347335475692,NA,0.28347335475692,"positive"
"7",2020-05-16,9333.240234,9564.205078,9260.694336,9377.013672,36164766408,"@jk_rowling I still only own 0.25 Bitcoins btw",0,NA,0.4301620161277,"positive"
"8",2020-05-16,9333.240234,9564.205078,9260.694336,9377.013672,36164766408,"@jk_rowling Pretty much, although massive currency issuance by govt central banks is making Bitcoin Internet 👻 money look solid by comparison",0.8603240322554,NA,0.4301620161277,"positive"
"9",2020-12-20,23861.765625,24209.660156,23147.710938,23477.294922,37844228422,"Bitcoin is almost as bs as fiat money",-0.0282842712474619,NA,0.153562962688753,"positive"
"10",2020-12-20,23861.765625,24209.660156,23147.710938,23477.294922,37844228422,"Bitcoin is my safe word",0.335410196624968,NA,0.153562962688753,"positive"
"11",2021-02-07,39250.191406,39621.835938,37446.152344,38903.441406,65500641143,"@itsALLrisky It’s the most fun crypto!",0.510252038562457,NA,0.510252038562457,"positive"
"12",2021-02-19,51675.980469,56113.652344,50937.277344,55888.132813,63495496918,"@business Tesla’s action is not directly reflective of my opinion. Having some Bitcoin, which is simply a less dumb form of liquidity than cash, is adventurous enough for an S&amp;P500 company.",-0.0220503370179398,0.0754164725121372,0.114743048627369,"positive"
"13",2021-02-19,51675.980469,56113.652344,50937.277344,55888.132813,63495496918,"@business To be clear, I am *not* an investor, I am an engineer. I don’t even own any publicly traded stock besides Tesla.   However, when fiat currency has negative real interest, only a fool wouldn’t look elsewhere.   Bitcoin is almost as bs as fiat money. The key word is “almost”.",-0.0109997377135318,0.104444017026081,0.114743048627369,"positive"
"14",2021-02-19,51675.980469,56113.652344,50937.277344,55888.132813,63495496918,"@realfuckingnews @business Somehow, a hash text file using ancient crypto can be exchanged for real goods &amp; services!? Amazing.",0.377279220613579,0.173553390593274,0.114743048627369,"positive"
"15",2021-03-24,54710.488281,57262.382813,52514.332031,52774.265625,70567223787,"You can now buy a Tesla with Bitcoin",0,NA,0.178353593699717,"positive"
"16",2021-03-24,54710.488281,57262.382813,52514.332031,52774.265625,70567223787,"Pay by Bitcoin capability available outside US later this year",0.411096095821889,NA,0.178353593699717,"positive"
